date,open,high,low,close,volume
2003-09-10 09:30:00,102.53,102.8,102.247,102.32,12410900
2003-09-10 10:30:00,102.34,102.55,102.3,102.35,3270700
2003-09-10 11:30:00,102.35,102.44,102.15,102.36,4127100
2003-09-10 12:30:00,102.35,102.6,102.29,102.35,2411300
2003-09-10 13:30:00,102.35,102.41,101.86,101.89,6428400
2003-09-10 14:30:00,101.91,102.05,101.55,101.57,9226500
2003-09-10 15:30:00,101.57,101.83,101.55,101.7,3835400
2003-09-11 09:30:00,102.1,102.44,102.03,102.15,9621600
2003-09-11 10:30:00,102.127,102.3,101.84,102.03,4132600
2003-09-11 11:30:00,102.02,102.47,101.98,102.38,5683900
2003-09-11 12:30:00,102.38,102.62,102.27,102.55,3275400
2003-09-11 13:30:00,102.512,102.74,102.4,102.63,3957800
2003-09-11 14:30:00,102.62,102.76,102.41,102.55,2910700
2003-09-11 15:30:00,102.52,102.55,102.19,102.28,4211600
2003-09-12 09:30:00,101.91,102.09,101.35,101.54,12755400
2003-09-12 10:30:00,101.55,102.18,101.44,101.96,8198200
2003-09-12 11:30:00,101.96,101.99,101.697,101.878,1655300
2003-09-15 09:30:00,102.52,102.63,102.23,102.47,6180200
2003-09-15 10:30:00,102.48,102.6,102.05,102.19,3303800
2003-09-15 11:30:00,102.16,102.27,102.1,102.19,1114000
2003-09-16 09:30:00,102.232,102.85,102.17,102.77,5652700
2003-09-16 10:30:00,102.77,102.81,102.66,102.73,2269800
2003-09-16 11:30:00,102.73,102.84,102.65,102.7,2144800
2003-09-16 12:30:00,102.73,102.93,102.69,102.86,3292500
2003-09-16 13:30:00,102.87,102.93,102.63,102.69,2317800
2003-09-16 14:30:00,102.67,103.48,102.56,103.46,9435400
2003-09-16 15:30:00,103.44,103.64,103.4,103.55,8437900
2003-09-17 09:30:00,103.48,103.78,103.38,103.69,6120900
2003-09-17 10:30:00,103.7,103.785,103.32,103.51,4260500
2003-09-17 11:30:00,103.51,103.64,103.45,103.611,767100
2003-09-18 09:30:00,103.4,103.98,103.2,103.941,7514200
2003-09-18 10:30:00,103.94,104.22,103.17,104.14,5367000
2003-09-18 11:30:00,104.15,104.36,104.13,104.19,2845200
2003-09-19 09:30:00,104.27,104.6,103.77,103.98,7268500
2003-09-19 10:30:00,103.95,103.98,103.57,103.74,4810600
2003-09-19 11:30:00,103.74,103.93,103.71,103.82,1104900
2003-09-22 09:30:00,102.85,102.96,102.22,102.42,11924000
2003-09-22 10:30:00,102.41,102.72,102.32,102.62,5879700
2003-09-22 11:30:00,102.61,102.72,102.38,102.45,1598100
2003-09-23 09:30:00,102.59,102.98,102.43,102.94,7437100
2003-09-23 10:30:00,102.95,103.0,102.41,102.53,6409100
2003-09-23 11:30:00,102.54,102.62,102.36,102.6,2028400
2003-09-24 09:30:00,103.118,103.22,102.61,102.7,5720400
2003-09-24 10:30:00,102.72,102.86,102.57,102.57,2782000
2003-09-24 11:30:00,102.6,102.61,102.15,102.15,2663200
2003-09-25 09:30:00,101.41,101.54,100.72,100.78,14766200
2003-09-25 10:30:00,100.8,101.52,100.59,101.5,8170800
2003-09-25 11:30:00,101.501,101.71,101.47,101.622,2892000
2003-09-26 09:30:00,100.44,100.63,99.97,100.45,12220000
2003-09-26 10:30:00,100.45,100.66,100.12,100.16,5881200
2003-09-26 11:30:00,100.16,100.31,100.04,100.13,3130000
2003-09-29 09:30:00,100.3,100.52,100.2,100.37,4861800
2003-09-29 10:30:00,100.36,100.43,99.79,100.26,8602400
2003-09-29 11:30:00,100.25,100.45,100.18,100.42,1919500
2003-09-30 09:30:00,100.48,100.53,99.25,99.56,20830100
2003-09-30 10:30:00,99.55,99.97,99.47,99.63,10904000
2003-09-30 11:30:00,99.66,99.97,99.42,99.86,3541300
2003-10-01 09:30:00,100.24,100.93,100.2,100.7,12639500
2003-10-01 10:30:00,100.71,100.89,100.41,100.85,6275200
2003-10-01 11:30:00,100.83,101.3,100.4,101.29,5528600
2003-10-01 12:30:00,101.3,101.33,101.11,101.26,3815100
2003-10-01 13:30:00,101.23,101.62,101.19,101.39,11466200
2003-10-01 14:30:00,101.37,101.95,101.32,101.92,9498700
2003-10-01 15:30:00,101.92,102.12,101.23,102.0,10089100
2003-10-02 09:30:00,101.93,102.48,101.63,102.2,16697900
2003-10-02 10:30:00,102.15,102.33,101.65,102.27,5329000
2003-10-02 11:30:00,102.27,102.38,101.76,101.87,5470300
2003-10-02 12:30:00,101.87,102.18,101.75,102.04,2311800
2003-10-02 13:30:00,102.02,102.33,101.88,102.33,2558400
2003-10-02 14:30:00,102.32,102.51,102.08,102.36,5640300
2003-10-02 15:30:00,102.38,102.4,101.82,102.32,4032800
2003-10-03 09:30:00,103.67,104.04,103.43,103.58,14813100
2003-10-03 10:30:00,103.62,103.982,103.43,103.62,4764700
2003-10-03 11:30:00,103.62,103.974,103.58,103.96,2448000
2003-10-03 12:30:00,103.95,104.28,103.76,104.11,5776700
2003-10-03 13:30:00,104.09,104.2,103.95,104.11,4403300
2003-10-03 14:30:00,104.12,104.17,103.47,103.7,6174700
2003-10-03 15:30:00,103.7,103.75,103.08,103.26,5350100
2003-10-06 09:30:00,103.482,103.66,103.22,103.42,4624600
2003-10-06 10:30:00,103.43,103.532,103.2,103.43,4915300
2003-10-06 11:30:00,103.44,103.88,103.4,103.83,2102700
2003-10-06 12:30:00,103.83,103.85,103.7,103.78,1257800
2003-10-06 13:30:00,103.78,103.94,103.66,103.87,1500200
2003-10-06 14:30:00,103.87,103.99,103.56,103.78,3683600
2003-10-06 15:30:00,103.76,103.83,103.68,103.72,1439200
2003-10-07 09:30:00,103.26,103.37,102.91,103.24,9139000
2003-10-07 10:30:00,103.22,103.82,103.13,103.65,8185800
2003-10-07 11:30:00,103.655,103.84,103.54,103.72,4381100
2003-10-07 12:30:00,103.73,103.81,103.36,103.467,2290600
2003-10-07 13:30:00,103.467,103.72,102.98,103.7,3286700
2003-10-07 14:30:00,103.7,104.25,103.63,104.15,8730600
2003-10-07 15:30:00,104.18,104.26,104.02,104.19,2842300
2003-10-08 09:30:00,104.33,104.39,103.85,103.95,8927300
2003-10-08 10:30:00,103.97,104.04,103.61,103.79,3907400
2003-10-08 11:30:00,103.79,103.95,103.66,103.82,2315500
2003-10-08 12:30:00,103.79,104.03,103.71,103.75,2657100
2003-10-08 13:30:00,103.73,103.94,103.41,103.6,4086800
2003-10-08 14:30:00,103.6,103.91,103.43,103.74,4322600
2003-10-08 15:30:00,103.75,103.85,103.63,103.72,2057600
2003-10-09 09:30:00,104.88,104.97,104.47,104.64,7556000
2003-10-09 10:30:00,104.68,105.04,104.5,104.93,5659100
2003-10-09 11:30:00,104.97,105.22,104.93,105.04,3876600
2003-10-09 12:30:00,105.04,105.17,104.81,104.96,2071800
2003-10-09 13:30:00,104.96,105.04,104.31,104.34,6068700
2003-10-09 14:30:00,104.35,104.42,103.83,104.16,9101200
2003-10-09 15:30:00,104.14,104.26,104.01,104.16,2236200
2003-10-10 09:30:00,104.27,104.45,104.11,104.4,6324200
2003-10-10 10:30:00,104.397,104.48,103.92,104.12,3855500
2003-10-10 11:30:00,104.11,104.29,103.91,104.14,2326200
2003-10-10 12:30:00,104.17,104.38,104.01,104.3,1674400
2003-10-10 13:30:00,104.3,104.38,104.12,104.22,1736400
2003-10-10 14:30:00,104.22,104.24,103.93,104.05,2875300
2003-10-10 15:30:00,104.03,104.22,104.0,104.2,1856500
2003-10-13 09:30:00,104.715,105.27,104.7,105.25,6521500
